"musica";"musica_parecida";"nivel_de_similaridade"
"I Love You, I'm Sorry - Gracie Abrams";"I Can't Wait To Get There";86,1029224315782
"Saturn - SZA";"Lose Control";86,0912014388407
"WILDFLOWER - Billie Eilish";"I Can't Wait To Get There";86,0866338630846
"A Bar Song (Tipsy) - Shaboozey";"Lovin On Me";86,0764456622573
"Saturn - SZA";"Sailor Song";86,0472624688083
"Espresso - Sabrina Carpenter";"PIToRRO DE COCO";86,04587745574
"Pink Skies - Zach Bryan";"Snooze";86,0053495796443
"Sweater Weather - The Neighbourhood";"Love Somebody";85,9946884598129
"Lose Control - Teddy Swims";"Snooze";85,9940380186691
"LO QUE LE PASÓ A HAWAii - Bad Bunny";"BAILE INoLVIDABLE";85,9885874395776
"Again - Fetty Wap";"Dum, Dumb, and Dumber (with Young Thug & Future)";85,9834298966485
"30 For 30 (with Kendrick Lamar) - SZA, Kendrick Lamar";"I Love You, I'm Sorry";85,9713828005475
"Scorsese Baby Daddy - SZA";"Timeless";85,969807521657
"Do You Have A Destination? - Mac Miller";"Funny Papers";85,9599921160979
"Sweater Weather - The Neighbourhood";"Timeless";85,9592960342438
"All The Stars (with SZA) - Kendrick Lamar, SZA";"Abracadabra";85,9566245780095
"Espresso - Sabrina Carpenter";"All The Stars (with SZA)";85,9530666989699
"squabble up - Kendrick Lamar";"Timeless";85,9479676256637
"505 - Arctic Monkeys";"That's So True";85,9269554331458
"Who - Jimin";"Taste";85,9152327745004
"WHATCHU KNO ABOUT ME (feat. Sexyy Red) - GloRilla, Sexyy Red";"Timeless (feat Playboi Carti)";85,8989166798948
"No One Noticed - The Marías";"BIRDS OF A FEATHER";85,894582596701
"Sports car - Tate McRae";"APT.";85,8906939968122
"Sports car - Tate McRae";"Espresso";85,8756516248799
"Scorsese Baby Daddy - SZA";"A Bar Song (Tipsy)";85,8731417092073
"Sweater Weather - The Neighbourhood";"Love Somebody";85,840608386313
"Sweater Weather - The Neighbourhood";"PIToRRO DE COCO";85,8346143201439
"NIGHTS LIKE THIS - The Kid LAROI";"That's So True";85,8103344644655
"I Love You, I'm Sorry - Gracie Abrams";"EL CLúB";85,7980108501496
"I Love You, I'm Sorry - Gracie Abrams";"EL CLúB";85,7980108501496
"5 Dollar Pony Rides - Mac Miller";"Open Hearts";85,7951449508534
"Lovin On Me - Jack Harlow";"squabble up";85,7871338385688
